0	0	1.0
0	1	1.0
0	34	1.0
0	3	1.0
0	48	1.0
0	8	1.0
0	16	1.0
0	50	1.0
0	35	1.0
0	53	1.0
0	24	1.0
0	25	1.0
0	58	1.0
0	59	1.0
1	48	1.0
1	34	1.0
1	35	1.0
1	16	1.0
1	49	1.0
1	50	1.0
1	3	1.0
1	53	1.0
1	24	1.0
1	25	1.0
1	58	1.0
1	59	1.0
2	16	1.0
2	49	1.0
2	2	1.0
2	35	1.0
2	24	1.0
2	25	1.0
2	58	1.0
2	59	1.0
2	34	1.0
3	16	1.0
3	35	1.0
3	34	1.0
3	3	1.0
3	51	1.0
3	49	1.0
3	24	1.0
3	25	1.0
3	26	1.0
3	59	1.0
3	58	1.0
4	51	1.0
4	34	1.0
4	35	1.0
4	4	1.0
4	47	1.0
4	16	1.0
4	49	1.0
4	19	1.0
4	53	1.0
4	24	1.0
4	25	1.0
4	58	1.0
4	59	1.0
5	16	1.0
5	35	1.0
5	34	1.0
5	19	1.0
5	5	1.0
5	24	1.0
5	25	1.0
5	58	1.0
5	59	1.0
5	53	1.0
5	47	1.0
6	16	1.0
6	35	1.0
6	34	1.0
6	19	1.0
6	53	1.0
6	6	1.0
6	24	1.0
6	25	1.0
6	58	1.0
6	59	1.0
7	48	1.0
7	2	1.0
7	35	1.0
7	7	1.0
7	8	1.0
7	34	1.0
7	16	1.0
7	49	1.0
7	50	1.0
7	24	1.0
7	25	1.0
7	58	1.0
7	59	1.0
8	16	1.0
8	24	1.0
8	34	1.0
8	35	1.0
8	49	1.0
8	48	1.0
8	8	1.0
8	25	1.0
8	58	1.0
8	59	1.0
8	50	1.0
9	16	1.0
9	35	1.0
9	34	1.0
9	19	1.0
9	49	1.0
9	25	1.0
9	9	1.0
9	10	1.0
9	59	1.0
9	58	1.0
9	53	1.0
10	51	1.0
10	34	1.0
10	35	1.0
10	9	1.0
10	10	1.0
10	16	1.0
10	49	1.0
10	19	1.0
10	53	1.0
10	25	1.0
10	58	1.0
10	59	1.0
11	51	1.0
11	34	1.0
11	35	1.0
11	11	1.0
